ironiste,
iront,v
irradiant,
irradier,v
irraisonnable,adj
irratable,
irrationnel,
irrationnelle,
irrationnellement,adv
irréaliste,adj
irréalité,n
irrédentisme,n
irréductible,
irréel,adj
irréellement,adv
irréfléchi,adj
irréflexion,n
irréfragable,adj
irréfragablement,adv
irréfutable,adj
irréfutablement,adv
irreg (page does not exist),
irrégularité,n
irregulier,
irrégulier,adj
irrégulièrement,adv
irréligieux,adj
irrémédiable,adj
irrémédiablement,adv
irrémissible,adj
irrémissiblement,adv
irremplaçable,adj
irréparable,adj
irréparablement,adv
irrépréhensible,adj
irrépréhensiblement,adv
irrépressible,adj
irrépressiblement,adv
irréprochable,adj
irréprochablement,adv
irrésistible,adj
irrésistiblement,adv
irrésolu,adj
irrésolument,adv
irrespectueusement,adv
irrespectueux,adj
irresponsable,adj
irresponsablement,adv
irrévéremment,adv
irrévérence,
irrévérencieusement,adv
irrévérencieux,adj
irrévérent,adj
irréversible,adj
irréversiblement,adv
irrévocable,adv
irrévocablement,adv
irrigate,
irrigation,
irriguer,v
irritable,
irritant,adj
irritation,n
irrité,adj
irriter,v
irruption,n
Irtych (page does not exist),
-is,suffix
-isation,
-iser,suffix
-isme,suffix
-iss-,infix
-isse,suffix
-issime,suffix
-iste,suffix
is-,prefix
Isaac,proper
isabelle,adj
Isabelle,proper
Isaï,proper
Isaïe,proper
isard,
isba,
ischiatique,adj
ischio-jambier,adj
ischion,n
isenthalpe,
isentropique,
Isernia,proper
Iseult,proper
islam,n
Islam,
islamique,adj
islamisation,
islamiser,
islamisme,n
islamiste,n adj
islamophobe,
islamophobie,n
islandais,n adj
Islandais,n
islandaise,
Islande,proper
Ismaël (page does not exist),
iso-,prefix
isobare,
isobutane,
isocèle,adj
isochore,
isochromosome,
isochrone,
isocline,
isodense,
isoflavone,n
isogamie,
isogamme (page does not exist),
isoglosse,
isolant,adj
isolateur,
isolation,n
isolationnisme,n
isolationniste,adj
isolé,adj
isolement,n
isolément,adv
isoler,v
isoloir,n
isomère,n
isométrie,
isométriquement,adv
isomorphe,adj
isomorphisme,n
isooctane,
isopentane,n
isoprène,n
isopycne (page does not exist),
isotherme,
isothermique,adj
isothermiquement,adv
isotonique,adj
isotope,adj
isotrope,adj
Israël,proper
israélien,adj
Israélien,n
Israëlien,n
israélienne,
israélite,
Israélite,proper
Issa,proper n
isséen,adj
issu,adj
issu du tablier de (page does not exist),
issue,n
issue de secours (page does not exist),
Istanbul,proper
Istanbuliote (page does not exist),
isthme,n
Istrie (page does not exist),
Istro-roumain (page does not exist),
-it,suffix
-ît,suffix
-ite,suffix
-ité,suffix
-itude,
italianisme (page does not exist),
Italie,proper
italien,adj n
Italien,n
italienne,
Italienne,
italo-,prefix
italophone,
itératif,adj
itérativement,adv
itérer,v
Ithaque (page does not exist),
itinéraire,n
itinéraire linéaire (page does not exist),
itinérance,n
itinérant,n adj
itou,adv
Iturée,proper
iule,
Ivalo,
Ivan,
Ivanovo,
IVG,abbr
ivoire,n
Ivoirien,n
ivoirien,adj
ivoirienne,
Ivoirienne,n
ivraie,n
ivraie enivrante (page does not exist),
ivre,adj
ivre mort (page does not exist),
ivresse,n
ivrogne,n
ivrognerie,n
Iwo Jima,
ixer,v
ixième,adj
Ixion,
j',pronoun
jà,adv
jabot,n
jaboter,
jacassement,
jacasser,v
jacasseur,n
j'accuse,
jachère,n
jacinthe,n
jack,
Jack l'éventreur (page does not exist),
jackpot,
Jacob,proper
jacobin,adj n
jacque,
Jacqueline,proper
jacquerie,n
Jacques,proper
Jacques a dit,n
jactance,n
Jade,proper
jade,n
Jadéite (page does not exist),
jadis,adv
jaguar,n
jaguarondi,n
j'ai,phrase
jai alai,
j'ai ... ans (page does not exist),
j'ai besoin d'accès à Internet (page does not exist),
j'ai besoin d'aspirine (page does not exist),
j'ai besoin d'eau (page does not exist),
j'ai besoin de dentifrice (page does not exist),
j'ai besoin de gaz (page does not exist),
j'ai besoin de nourriture (page does not exist),
j'ai besoin de papier hygiénique (page does not exist),
j'ai besoin de savon (page does not exist),
j'ai besoin de shampooing (page does not exist),
j'ai besoin d'essence (page does not exist),
j'ai besoin de ton aide,phrase
j'ai besoin d'être seul (page does not exist),
j'ai besoin de vêtements (page does not exist),
j'ai besoin de votre aide,phrase
j'ai besoin d'intimité (page does not exist),
j'ai besoin d'un argent (page does not exist),
j'ai besoin d'un avocat (page does not exist),
j'ai besoin d'un crayon (page does not exist),
j'ai besoin d'un dictionnaire (page does not exist),phrase
j'ai besoin d'une boussole (page does not exist),
j'ai besoin d'une brosse à dents (page does not exist),
j'ai besoin d'une carte (page does not exist),
j'ai besoin d'une pile (page does not exist),
j'ai besoin d'une serviette (page does not exist),
j'ai besoin d'un guide (page does not exist),
j'ai besoin d'un interprète (page does not exist),
j'ai besoin d'un médecin (page does not exist),
j'ai besoin d'un parapluie (page does not exist),
j'ai besoin d'un préservatif,phrase
j'ai besoin d'un rasoir (page does not exist),
j'ai besoin d'un stylo (page does not exist),
j'ai besoin d'un taxi (page does not exist),
j'ai de la fièvre (page does not exist),
j'ai de l'asthme (page does not exist),
j'ai du diabète (page does not exist),
j'ai envie (page does not exist),
j’ai envie d’aller aux toilettes (page does not exist),
j'ai été blessé par balle (page does not exist),
j'ai failli attendre (page does not exist),
j'ai faim (page does not exist),
j'ai honte (page does not exist),
j'ai le gosier sec (page does not exist),
j'ai le SIDA (page does not exist),
j'ai perdu mes clés (page does not exist),
j'ai perdu mes lunettes (page does not exist),
j'ai perdu mon portefeuille (page does not exist),
j'ai peur,phrase
j'ai reçu une balle (page does not exist),
j'ai soif (page does not exist),
j'ai un cancer (page does not exist),
j'ai une faim de loup (page does not exist),
j'ai une question,phrase
j'ai un rhume (page does not exist),
j'ai vingt ans (page does not exist),
jaillir,v
jaillissement,
jaillissure (page does not exist),
jaïn,adj n
jaïnisme,n
jais,n
Jakarta,
Jalalabad,
jalon,n
jalonnement (page does not exist),
jalonner,v
jalouse,
jalousement,adv
jalouser,v
jalousie,n
jaloux,adj
jam,
Jamaïcain,n
jamaïcain,adj
Jamaïcaine,
jamaïcaine,
Jamaïquain (page does not exist),
jamaïquain,
jamaïquaine,
Jamaïque,proper
jamais,adv
jamais de la vie (page does not exist),
jamais deux sans trois (page does not exist),
jamais du tout (page does not exist),
jamais plus (page does not exist),
jambage,
jambe,n
jambe de pantalon (page does not exist),
jambelet (page does not exist),
jambière,n
Jamblique (page does not exist),
jambon,n
jamboree,
Jambrès,proper
James Bond,
Jammu-et-Cachemire (page does not exist),
Jan Mayen,
Janine,proper
janissaire,n
Jannès,proper
jante,n
Janus,
janvier,n
Jap,
japchae,
Japet (page does not exist),
Japon,proper
Japonais,n
japonais,n adj
japonaise,adj
Japonaise,n
japonaiserie,n
japonisation (page does not exist),
japoniser,v
japonisme,n
japono- (page does not exist),
japonophile (page does not exist),
japonophilie (page does not exist),
japonophobie (page does not exist),
jappement,n
japper,v
jaquette,n
jardin,n
jardin botanique,n
jardin d’enfants,n
jardin paysager (page does not exist),
jardin potager,n
jardin public,n
jardin zoologique,
jardinage,n
jardiner,v
jardinerie,n
jardinet,n
jardinier,n
jardinière,n
jargon,n
jargonner,
jargonnesque (page does not exist),
jarre,n
jarret,n
jarretelle,
jarretière,n
jars,n
jaser,v
jaseran,n
Jaseroque (page does not exist),
jaseur,n adj
jasmin,
Jasmin,proper
Jasmine,proper
Jason,
jaspe,n
jaspé,adj
jaspe sanguin (page does not exist),
jasper,v
jaspure (page does not exist),
jatte,n
jauge,n
jauger,v
jaunâtre,adj
jaune,adj n
jaune canari (page does not exist),
jaune citron (page does not exist),
jaune d'œuf,
jaunir,v
jaunisse,
j'aurais aimé que (page does not exist),
Java,
Javanais,
javanais,n adj
javel,n
javelle,
javelliser,
javelot,n
jazz,
jazzer,v
jazzifier,v
jazzifierr (page does not exist),
jazzique,adj
jazzman,
jazzophile,n
JdR (page does not exist),
je,pronoun
je cherche du travail (page does not exist),
je cherche un guide (page does not exist),
je dois y aller (page does not exist),
je fais de l'asthme (page does not exist),
je fais de l'hypertension (page does not exist),
je fais de l'hypotension (page does not exist),
je fais du diabète (page does not exist),
je le pense (page does not exist),
je le sais (page does not exist),
je m'appelle,phrase
je m’en fous,
je-m'en-foutisme,n
je me suis brulé (page does not exist),
je me suis brulée (page does not exist),
je me suis fait volé (page does not exist),
je me suis fait volée (page does not exist),
je meurs (page does not exist),
je m'excuse (page does not exist),
je n'ai pas d'argent,
je n'ai pas la moindre idée (page does not exist),
je n'ai pas l'ombre d'une idée (page does not exist),
je ne comprends pas,phrase
je ne crois pas (page does not exist),
je ne mange pas de poisson (page does not exist),
je ne mange pas de viande (page does not exist),
je ne mange pas du porc (page does not exist),
je ne m'inquiète pas (page does not exist),
je ne parle pas anglais,phrase
je ne parle pas catalane (page does not exist),
je ne parle pas français,phrase
je ne parle pas persan (page does not exist),
je ne parle pas russe (page does not exist),
je ne parle pas turc (page does not exist),phrase
je ne pense pas,phrase
je ne sais pas,phrase
je ne sais quoi,n
je ne suis pas religieuse (page does not exist),
je ne suis pas religieux (page does not exist),
je pense donc je suis (page does not exist),
je pense que oui (page does not exist),
je prends la pilule (page does not exist),
je saigne (page does not exist),
je sais (page does not exist),
je suis (page does not exist),
je suis agnostique (page does not exist),
je suis à la recherche d'un emploi (page does not exist),
je suis allergique à la pénicilline (page does not exist),
je suis allergique à l'aspirine (page does not exist),
je suis allergique au pollen (page does not exist),
je suis amoureux de toi (page does not exist),
je suis amoureux de vous (page does not exist),
je suis anglais (page does not exist),
je suis anglaise (page does not exist),
je suis ... ans d'âge (page does not exist),
je suis athée (page does not exist),
je suis aveugle (page does not exist),
je suis bouddhiste (page does not exist),
je suis canadien (page does not exist),
je suis canadienne (page does not exist),
je suis catholique (page does not exist),
je suis célibataire (page does not exist),
je suis chrétien (page does not exist),
je suis chrétienne (page does not exist),
je suis divorcé (page does not exist),
je suis divorcée (page does not exist),
je suis excité (page does not exist),
je suis excitée (page does not exist),
je suis fatigué (page does not exist),
je suis fatiguée (page does not exist),
je suis gai (page does not exist),
je suis gavé (page does not exist),
je suis gay (page does not exist),
je suis hétéro (page does not exist),
je suis illettré (page does not exist),
je suis illettrée (page does not exist),
je suis juif (page does not exist),
je suis juive (page does not exist),
je suis malade (page does not exist),
je suis marié (page does not exist),
je suis mariée (page does not exist),
je suis muet (page does not exist),
je suis muette (page does not exist),
je suis musulman (page does not exist),
je suis musulmane (page does not exist),
je suis perdu (page does not exist),
je suis perdue (page does not exist),
je suis sourd (page does not exist),
je suis sourde (page does not exist),
je suis un végétarien (page does not exist),
je suis végétarienne (page does not exist),
je suis venu, j’ai vu, j’ai vaincu (page does not exist),
je t'adore (page does not exist),
je t'aime,phrase
je te déteste (page does not exist),
je te hais (page does not exist),
je te l'avais bien dit (page does not exist),
je t'en prie,phrase
je vais appeler la police (page does not exist),
je vais bien (page does not exist),
je vais mourir (page does not exist),
je veux savoir (page does not exist),
je voudrais avoir des relations sexuelles avec vous (page does not exist),
je voudrais savoir (page does not exist),
je voudrais t'embrasser (page does not exist),
je voudrais vous embrasser (page does not exist),
je vous adore (page does not exist),
je vous aime,phrase
je vous déteste (page does not exist),
je vous en prie,phrase
je vous hais (page does not exist),
je vous remercie (page does not exist),
jean,n
Jean,proper
Jean-Baptiste,proper
Jean-Charles,proper
Jean-Christophe,proper
Jean-Claude,proper
Jean Dupont (page does not exist),
Jean-François,proper
Jean-Guy,proper
Jean-Jacques,proper
Jean-Joël,proper
Jean le Baptiste (page does not exist),
Jean-Louis,proper
Jean-Loup,proper
Jean-Luc,proper
Jean-Marc,proper
Jean-Marie,proper
Jean-Michel,proper
Jean-Noël,proper
Jean-Pascal,proper
Jean-Paul,proper
Jean-Philippe,proper
Jean-Pierre,proper
Jean-Yves,proper
Jeanne,proper
Jeannette,
Jeannine,proper
jeans,
Jeans,proper
jeep,n
Jéhovah,proper
Jelly Bean (page does not exist),
Jennifer,proper
Jephthé,proper
jérémiade,n
Jérémie,proper
Jérémy,proper
jerez,
Jéricho,proper
jerk,n
jerker,v
Jérôme,proper
jerrican,
jerricane,n
jersaise (page does not exist),
jersey,n
Jersey,
jersiais,adj n
Jersiais,n
Jérusalem,proper
Jessica,proper
jésuite,adj
Jésus,proper
Jésus-Christ,proper
jet,n
jet-lag,n
jeta,v
jetable,adj
jetai,v
jetait,v
jeté,n
jetée,n
jeter,v
jeter aux orties (page does not exist),
jeter de l'huile sur le feu,v
jeter des fleurs à quelqu’un (page does not exist),
jeter des perles aux pourceaux (page does not exist),
jeter la pierre (page does not exist),
jeter le bébé avec l'eau du bain,v
jeter le bébé avec l’eau du bain,
jeter le gant,v
jeter le grappin sur (page does not exist),
jeter l'éponge,v
jeter les bases,v
jeter l'opprobre sur (page does not exist),
jeter sa gourme (page does not exist),
jeter son dévolu sur (page does not exist),
jeter un coup d'œil,v
jeter un coup d’œil,
jeter une bouteille à la mer (page does not exist),
jeter un œil,v
jetèrent,v
jeton,n
jette,v
jette-feu (page does not exist),
jeu,n
jeu blanc (page does not exist),
jeu de cadres (page does not exist),
jeu de caractères (page does not exist),
jeu de cartes,n
jeu de courte-paume (page does not exist),
jeu de dames,n
jeu de go (page does not exist),
jeu de grattage (page does not exist),
jeu de guerre (page does not exist),
jeu de hasard,n
jeu de l'oie,n
jeu de mots,n
jeu d'enfant,n
jeu d’enfant (page does not exist),
jeu de patience (page does not exist),
jeu de paume,
jeu de platforme,n
jeu de puce (page does not exist),
jeu de rôle,n
jeu de rôle en ligne massivement multijoueur,n
jeu de société,n
jeu des sept erreurs (page does not exist),
jeu de timbres (page does not exist),
jeu du chat et de la souris (page does not exist),
jeu électronique (page does not exist),
jeu vidéo,n
jeudi,n
jeune,adj n
jeûne,n
jeûné,adj
jeune chouette (page does not exist),
jeune cygne (page does not exist),
jeune femme (page does not exist),
jeune fille,n
jeune hibou (page does not exist),
jeune homme (page does not exist),
jeune marié,n
jeune mariée,
jeune tigre (page does not exist),
jeune voyou (page does not exist),
jeûner,v
jeunesse,n
jeunet,adj
jeunot,adj n
Jeux asiatiques (page does not exist),
Jeux du Commonwealth (page does not exist),
Jeux Olympiques,
Jeux olympiques,proper
Jeux Olympiques d'hiver (page does not exist),
jeux vidéo,
Jézabel,proper
Jezebel,
le jeu ne vaut pas la chandelle (page does not exist),
j'habite à Melbourne (page does not exist),
j'habite Melbourne (page does not exist),
Jharkhand,
jiaozi,
jibbeur (page does not exist),
jihad,n
jingle,n
jingoïsme (page does not exist),
jinisme,n
jinn,
JLB,n
JLPT,
Jn,
Jnspj,init
joaillerie,n
joaillier,n
joaillière,
job,n
Job,
jobard,adj
Jocelyn,proper
Jocelyne,proper
jockey,n
jodler,v
jodleur (page does not exist),
jodleuse (page does not exist),
Joël,proper
Joëlle,proper
joggeur,n
jogging,n
Johannesburg,
joie,n
joie de vivre,n
joie maligne (page does not exist),
joindre,v
joindre les deux bouts,v
joint,n
joint-venture,n
jointement (page does not exist),
jointoyer,
jointure,
jointure du doigt (page does not exist),
jojo,adj
joker,n
joli,adj
jolie,
jolie laide,phrase
joliesse,n
joliment,adv
Jonas,
Jonathan,proper
jonc,n
jonchaie,n
joncher,v
joncheraie (page does not exist),
jonction,n
jonction double (page does not exist),
jonglage,n
jongler,v
jonglerie,n
jonglerie de contact (page does not exist),
jonglerie de lancer (page does not exist),
jongleur,n
jonque,n
jonquille,n
Joppé,proper
Jordan,proper
Jordanie,proper
Jordanien,n
jordanien,adj
Jordanienne,
Jorioz (page does not exist),
José,proper
Josée,proper
Joseph,proper
Joséphine,proper
Josette,proper
Josselin,proper
Josseline,proper
Josué,proper
jota,n
jouabilité,
jouable,adj
joue,n
joué,adj
jouer,v
jouer à la paume,v
jouer au chat et à la souris,v
jouer avec le feu,v
jouer avec ses armes,v
jouer des coudes (page does not exist),
jouer la montre (page does not exist),
jouer par cœur (page does not exist),
jouet,n
joueur,n
joueur de baseball (page does not exist),
joueur de deuxième but,n
joueur de premier but,n
joueur de tennis (page does not exist),
joueur de troisième but,n
joueuse,n
joufflu,adj
joug,n
jouir,v
jouissance,n
jouisseur,adj n
jouissif,adj
joujou,n
Joukov (page does not exist),
joule,n
jour,n
jour-amende,n
jour après jour (page does not exist),
jour de congé (page does not exist),
jour de l'an,n
jour de la semaine (page does not exist),
Jour de la Terre (page does not exist),
Jour de la Victoire (page does not exist),
jour de l'indépendance (page does not exist),
jour de l'Indépendance (page does not exist),
jour de paie,n
jour du Chabbat (page does not exist),
jour du chabbat (page does not exist),
jour du jugement (page does not exist),
jour du Jugement dernier (page does not exist),
jour du sabbat (page does not exist),
jour du Sabbat (page does not exist),
jour du Schabbat (page does not exist),
jour du schabbat (page does not exist),
jour du shabbat (page does not exist),
jour du Shabbat (page does not exist),
jour du Souvenir (page does not exist),
jour et nuit (page does not exist),
jour férié,n
jour fixe,phrase
jour-homme,n
Jour J (page does not exist),
jour ouvré (page does not exist),
jour pour jour,adv
Jourdain,proper
journal,n
journal intime,n
journal télévisé,n
journaleux (page does not exist),
journalier,adj n
journalisation (page does not exist),
journalisme,n
journalisme citoyen (page does not exist),
journaliste,n
journaliste reporter d'images,n
journalistique,adj
journalistiquement,adv
journaux,
journée,n
journée de l'ANZAC (page does not exist),
journellement,adv
jours,n
joute,n
jouter,
jouteur,n
jouvenceau,n
Jouxtens-Mézery,proper
jouxter,v
jovial,adj
jovialement,adv
jovialité,n
jovien,adj
joyau,n
joyeusement,adv
joyeuses Pâques (page does not exist),
joyeuseté,n
joyeux,adj
joyeux anniversaire,phrase
joyeux Noël,int
joyeux Noël et bonne année (page does not exist),
joystick,
un jour,adv
un jour ou l'autre (page does not exist),
J-pop,
jrf (page does not exist),
JRI,init
jsakdlv (page does not exist),
JT,init
j't'ai cassé,phrase
j't'ai eu (page does not exist),
jtm,int
de justesse,adv
jubé,n
jubilation,n
jubiler,v
jucher,v
Juda,
judaïsme,n
Judas,
judas,n
Jude,
Judée,proper
judéité,n
judéo-araméen,n
judiciaire,adj
judiciairement,adv
judicieusement,adv
judicieux,adj
Judith,proper
judo,n
judoka,
judokate,
jugal,
juge,n
juge de touche,n
juge d'instruction,n
jugement,n
jugement dernier (page does not exist),
jugeote,n
juger,v
juger de la pièce par l'échantillon (page does not exist),
jugerum,n
Juges (page does not exist),
jugeur,adj
jugulaire,n
jugulation,
juguler,v
Juif,n
juif,adj n
Juifs,proper
juillet,n
juin,n
juive,n
Juive,
jujube,
jujubier,
juke-box,n
Jules,proper
Julia,proper
Julie,proper
julien,adj
Julien,proper
Julienne,proper
Juliette,proper
julio-claudien,adj
jumeau,n
jumeau solaire (page does not exist),
jumelage,n
jumelle,n
jumelles,
jument,n
jumping,n
Juneau,
jungien,adj
jungle,n
junior,
Junon,proper
junte,n
jupe,n
jupe-crayon,n
jupe-culotte (page does not exist),
jupette,n
Jupiter,proper
jupon,n
jurande,n
jurassien,adj
jurassique,adj
Jurassique,proper
jurat,n
juré,n
jurer,v
juridiction,n
juridique,adj
juridiquement,adv
jurisprudence,n
juriste,n
juron,n
jury,n
jus,n
jus de canneberge (page does not exist),
jus de chaussette,
jus de fruit,n
jus de mangue (page does not exist),
jus de mangues (page does not exist),
jus de pomme,n
jus de raisin,n
jus de tomate (page does not exist),
jus d'orange,n
jusqu'à,prep
jusqu'à ce que,conj
jusqua là (page does not exist),
jusqu’à la troisième capucine (page does not exist),
jusqu'à maintenant (page does not exist),
jusqu'à présent (page does not exist),
jusqu'à présent, tout va bien (page does not exist),
jusqu'alors,adv
jusqu'au,contraction
jusqu'au bout,adv
jusqu'aux,contraction
jusque,adv
jusque là (page does not exist),
jusqu'en,contraction
jusquiame,
jusqu'ici,adv
jussif,n
Just,
justaucorps,n
juste,adj adv
juste en temps (page does not exist),
justement,adv
justesse,n
justice,n
justifiable,adj
justifiablement,adv
justificatif,adj n
justification,n
justifié,adj
justifier,v
Justin,proper
Justine,proper
justiticiable (page does not exist),
justiticier (page does not exist),
jute,
juter,v
juteux,adj
juvénat,n
juvénile,adv
juvénilement,adv
juxtaposé,
juxtaposer,v
K7,abbr
Ka'ba,
kabassou,
kabbale,n
kabbaliste,n
kabbalistique,adj
Kaboul,proper
kabyle,adj
Kabyle,
kacha,n
Kachgar (page does not exist),
kachoube (page does not exist),
kafkaïen,adj
kafta,n
kafta kebab,n
kählérien,adj
Kaiser,
kaki,
kakistocratie (page does not exist),
kakuro,n
kaléidoscope,n
kaléidoscopique,adj
Kâlî (page does not exist),
Kaliningrad,
kalmouk (page does not exist),
Kalouga (page does not exist),
Kamâl,proper
kamikaze,n
Kamtchatka (page does not exist),
kana,
kangourou,n
kanji,
kannada,n
kannara,n
kanouri (page does not exist),
Kansas City,
kantien,adj
kaoliang,
kaoliniser,v
kaolinite,
kappa,n
Karachi,
karakalpak (page does not exist),
karaoke,
karaoké,n
karatchaï-balkar,
karaté,n
karcher,n
Kardjali (page does not exist),
Karine,proper
karité,n
Karlovac,
Karnataka,
Karpates (page does not exist),
Karpatique (page does not exist),
karst,n
karstique,adj
karstologie,
karstologique,adj
karstologue,n
kart,
karyokinèse,n
karyophage (page does not exist),
kascher,
Kashgar,
Kashi,
kasra,
katana,n
Katanga,proper
Katanga oriental (page does not exist),
katangais,adj
Katangais,n
Katar,proper
Kathmandu,
Katia,proper
Katmandou,proper
Kātmāndū (page does not exist),
Kavala,
kawaï (page does not exist),
kawaii,
kawi,n
kayak,n
kayaker,v
kayakeur,n
kayakiste,
kazakh,n adj
Kazakh,
kazakhe,
Kazakhe (page does not exist),
Kazakhstan,
Kazan,
kazatchok,
kéa (page does not exist),
kebab,n
kébab,n
kebap,
Kébécois,n
kébécois,adj
keekeeli (page does not exist),
keepsake,n
keffié (page does not exist),
keffieh,n
kéfir,n
kelp,
kelvin,n
Kelvin,
Kemerovo,
Kentucky,
Kenya,
képi,n
Ker Ys (page does not exist),
kératine,n
kératinisation,n
kératiniser,v
kéraunogramme (page does not exist),
kermès,n
kermesse,n
kermodisme,n
kérosène,n
késaco,int
ketchup,
kete,
keuf,n
keum,n
Kevin,proper
Kévin,proper
keynésien,adj
KGB,proper
Khabarovsk,
khagan,
khâgne,n
khan,
Khanty-Mansiïsk (page does not exist),
Kharkiv,
Kharkov,
Khartoum,
khat,n
khatchapouri (page does not exist),
khépesh,n
khi,n
khinalug (page does not exist),
Khinalug,
khmer,n
Khmers rouges (page does not exist),
Khoisan,
khôl,n
Khrouchtchev (page does not exist),
kibboutz,n
kibioctet,n
kiceki,abbr
kick-boxing,
kicker,n
kidnapper,v
kidnappeur,n
kidnappeuse,n
kidnapping,n
kief,n
kieselguhr,n
kiesérite,n
Kiev,
kif,n
kif-kif,adj
kiffer,v
Kihnu,
kiki,n
kikimora,
kilo,n
kilo-,prefix
kiloampère,n
kilogramme,n
kilokatal,n
kilométrage,
kilomètre,n
kilomètre carré (page does not exist),
kilométrique,adj
kilooctet,n
kilotonne,
kilowatt,
kilowatt-heure (page does not exist),
kilowattheure,n
kilt,
Kim,
kimono,
kinésiologie,n
kinésique,n
kinésithérapeute,n
kinésithérapie,n
kinesthésie (page does not exist),
kinesthésique,adj
Kingersheim,proper
kinkajou,
kino-congolais (page does not exist),
Kino-Congolais (page does not exist),
kiosque,n
kiosque à journaux (page does not exist),
kippa,n
kir,n
kir breton,n
kirghiz,adj n
Kirghiz,
Kirghize (page does not exist),
kirghize,
Kirghizistan,proper
Kirghizstan,proper
Kiribati,
Kiribatien (page does not exist),
kiribatien (page does not exist),
kirigami,
Kırklareli,
kirpan,n
kisdé,n
kitsch,
kiviak,
kiwi,n
klaxon,n
klaxonner,v
Kleenex,n
klephte,n
kleptocratie,n
kleptomane,n
kleptomanie,n
klingon,n adj
Knesset,
knickerbockers,n
knickers,n
knout,n
ko,
koala,
koan,n
Kœnigsberg (page does not exist),
koi,abbr
kokuji,
Kolkata,
kolkhoze,n
Komintern,proper
Komondor,
Komotiní (page does not exist),
Komsomol,
Komsomolsk,
Komsomolsk-sur-l'Amour (page does not exist),
kootenay (page does not exist),
koro,
ko/s (page does not exist),
Kosovo,
Kouban,proper
kouglof,n
kouign-amann,n
koulak,n
koulibiac,n
Kourgan (page does not exist),
Koursk (page does not exist),
Koweït,proper
Koweïti (page does not exist),
koweïtien,adj
Koweïtien (page does not exist),
Koweïtienne (page does not exist),
kowtow,
K-pop,
krach,n
Kraï du Primorie (page does not exist),
kraken,n
krapar (page does not exist),
Krasnodar,
Krasnoïarsk (page does not exist),
Kremlin,
kremlinologie,n
kri-kri,
Krishna,
krypton,n
kryptonite,
ksi,n
Ku Klux Klan,
Kuala Lumpur,
kufique,adj
kumiz (page does not exist),
kummel,n
kumquat,
kung-fu,n
kurde,adj n
Kurde,n
Kurdistan,
kurtosis,
Kurzeme (page does not exist),
kvas,n
kwasa kwasa (page does not exist),
kymographie,n
Kyōto,
kyrie,
kyste,n
kystique,adj
Kyūshū,
l,
l',
-là,particle
-lâtrie (page does not exist),
de là (page does not exist),
de laquelle (page does not exist),
la,article pronoun n
là,adv
là-bas,adv
là-haut,adv
là où (page does not exist),
labbe,n
label,n
labelliser,v
labeur,n
labeurer,v
labialiser,v
labidure (page does not exist),
labiodental,
labiodentale,
labiovélaire,adj
labo,n
laboratoire,n
laboratoire d’idées,n
laborieusement,adv
laborieux,adj
labour,n
labourer,v
laboureur,n
labradorien,adj
Labradorien,n
labyrinthe,n
labyrinthique,
labyrinthite,n
lac,n
lac Ladoga (page does not exist),
Lac Michigan-Huron (page does not exist),
lac Ontario (page does not exist),
Lac Tanganyika (page does not exist),
lac Winnipeg (page does not exist),
lacer,v
lacérer,v
lacet,n
lacet de soulier (page does not exist),
lâchant,v
lâche,adj n
lâchement,adv
lâcher,v
lâches,v
lâcheté,n
lâcheur,n
lâchure (page does not exist),
laciniure (page does not exist),
lackey,
Laconie (page does not exist),
laconique,adj
lacquey,
lacrymal,adj
lacrymogène,adj
lacs,n
lactaire,adj n
lactation,
lacté,adj
lactique,adj
lactone,
lactose,n
lactucarium,n
lacune,n
lacunes,n
laçure (page does not exist),
lacustre,
ladin,adj n
ladino,n
Ladislas,proper
ladre,n adj
ladrerie,
lady,n
Laetitia,proper
Laëtitia,proper
lagomorphe,n
lagon,n
lagopède,n
lagopède alpin (page does not exist),
lagopède à queue blanche (page does not exist),
lagopède des saules (page does not exist),
Lagos,
lagrangien,adj
lagunaire,adj
lagune,n
lagure (page does not exist),
lahar,
lai,n adj
laïc,n
laîche,n
laïciser,v
laïcité,n
laid,adj
laid comme un pou,adj
laide,
laidement,adv
laideur,n
laine,n
laine de fer (page does not exist),
laine de verre (page does not exist),
laïque,adj n
laissant,v
laisse,n
laissé,v
laisse-courre (page does not exist),
laisse-moi tranquille (page does not exist),
laisse tomber (page does not exist),
laisser,v
laisser-aller,n
laisser au hasard (page does not exist),
laisser entendre (page does not exist),
laisser faire,v
laisser-faire,n
laisser passer (page does not exist),
laisser pendre (page does not exist),
laisser quelqu'un pour compte (page does not exist),
laisser sa raison au fond de la bouteille (page does not exist),
laisser tomber,v
laisser tout en plan (page does not exist),
laisser tranquille (page does not exist),
laisser une aile (page does not exist),
laissez-faire,
laissez les bons temps rouler,int
laissez-passer,n
laissez tomber (page does not exist),
lait,n
lait caillé (page does not exist),
lait condensé (page does not exist),
lait de chaux,
lait de noix de coco (page does not exist),
lait de poule,n
lait de soja (page does not exist),
lait écrémé (page does not exist),
lait frappé (page does not exist),
laitage,n
laitages,
laitance,
laite,
laiterie,n
laiteux,adj
laitier,adj n
laitière,
laiton,n
laitue,n
laïus,n
laïusser (page does not exist),
lakei,
lalalalère (page does not exist),
lama,n v
lamantin,n
lamarckisme,n
lamartinien,adj
lambada,
lambda,n
lambeau,n
Lambert,proper
lambin,n
lambris,n
lambrisser,v
